,velocity (m/d),rms_velocity,z_vel (m/d),time_mean,x_mean,y_mean,z_mean,time_median,x_median,y_median,z_median,x_std,y_std,z_std,n
534,0.013591527594212815,,8.465817343490773e-05,2019-05-02 11:59:52.500,407736.6641767286,-1274944.785163131,86.23681869328703,2019-05-02 11:59:52.500,407736.6641534568,-1274944.7841649791,86.2367,0.04489789524278074,0.037647447107110814,0.023819827107018257,86400
535,0.013587021249940733,,6.580682149479945e-05,2019-05-03 11:59:52.500,407736.6538915767,-1274944.793729343,86.23731188078703,2019-05-03 11:59:52.500,407736.65368578304,-1274944.7942563877,86.2371,0.044822626855794905,0.03770528208848535,0.023809652759294822,86400
536,0.013606011791719117,,0.0002063094704976757,2019-05-04 11:59:52.500,407736.64375239087,-1274944.8023309023,86.2375923275463,2019-05-04 11:59:52.500,407736.6436874848,-1274944.8030673068,86.2374,0.044843983295711515,0.0378204882972263,0.02399802353067487,86400
537,0.013586694376133438,,0.0002898854466641381,2019-05-05 11:59:52.500,407736.6333872351,-1274944.8108916953,86.23808931365741,2019-05-05 11:59:52.500,407736.63406100706,-1274944.8106848323,86.2379,0.04471754666046123,0.03785266243939689,0.02408628605104236,86400
538,0.013562096793462796,,0.00030635871149294834,2019-05-06 11:59:52.500,407736.62303587474,-1274944.819433648,86.23877595601853,2019-05-06 11:59:52.500,407736.62272440037,-1274944.8189012096,86.2387,0.044648823577114694,0.03776875046568711,0.02410638910119195,86400
539,0.013586949008359819,,0.00033492095296089433,2019-05-07 11:59:52.500,407736.61284021,-1274944.8279343813,86.23933350347222,2019-05-07 11:59:52.500,407736.6130523988,-1274944.8277641288,86.2393,0.04488287524278603,0.03765491329098014,0.0241353073134479,86400
540,0.013583470314704606,,0.0003033627183244635,2019-05-08 11:59:52.500,407736.6024259389,-1274944.8363272517,86.23924304050927,2019-05-08 11:59:52.500,407736.6027444981,-1274944.8369242863,86.2392,0.04510608860107358,0.03737348839087344,0.024147688346742736,86400
541,0.013615925904645053,,0.00025021255361719634,2019-05-09 11:59:52.500,407736.5920023464,-1274944.844851429,86.23887190740741,2019-05-09 11:59:52.500,407736.5923003351,-1274944.8454368305,86.2389,0.04536858574507674,0.03727610016930031,0.02422146850899358,86400
542,0.013594062716787775,,0.0003826687434336874,2019-05-10 11:59:52.500,407736.58160450426,-1274944.853381885,86.23851269097223,2019-05-10 11:59:52.500,407736.5823542379,-1274944.8537919938,86.2385,0.04553201885079717,0.03692141274473614,0.024171233489559785,86400
543,0.013615409575609803,,0.0005206905562683236,2019-05-11 11:59:52.500,407736.57122589834,-1274944.8617662156,86.23851203240741,2019-05-11 11:59:52.500,407736.57258808904,-1274944.8627562984,86.2385,0.045629040103373174,0.03694528954182269,0.024211883171340747,86400
544,0.013652571587103443,,0.00039171513201835897,2019-05-12 11:59:52.500,407736.5608246251,-1274944.870111773,86.2389481898148,2019-05-12 11:59:52.500,407736.56140338513,-1274944.8710415498,86.2389,0.045767760928650376,0.03702366386414668,0.024274932709810387,86400
545,0.013591143339363539,,5.660275032372626e-05,2019-05-13 11:59:52.500,407736.55047530483,-1274944.878579094,86.2390555451389,2019-05-13 11:59:52.500,407736.5508983643,-1274944.878967265,86.239,0.04557294354939779,0.03685895903744191,0.024288392342532023,86400
546,0.013559615859602789,,-0.00025092132932138275,2019-05-14 11:59:52.500,407736.5402076214,-1274944.8870459602,86.23892098263889,2019-05-14 11:59:52.500,407736.5400246247,-1274944.8867543289,86.239,0.045493166971301305,0.036751368647260044,0.02438443443974985,86400
547,0.013603153699744247,,-0.00037292850660324944,2019-05-15 11:59:52.500,407736.5297116965,-1274944.8954972788,86.23894214236111,2019-05-15 11:59:52.500,407736.52872059075,-1274944.8945464257,86.239,0.04571633177297557,0.036759626971586475,0.02424856273075813,86400
548,0.013633104232024339,,-0.00043987842042823134,2019-05-16 11:59:52.500,407736.5192044903,-1274944.9038741887,86.23898519791668,2019-05-16 11:59:52.500,407736.5178751322,-1274944.9033682954,86.2391,0.04578680771290406,0.03685757151498992,0.024104921331606938,86400
549,0.01362425339806634,,-0.0005510196695161226,2019-05-17 11:59:52.500,407736.50880063686,-1274944.9122721108,86.23881019212963,2019-05-17 11:59:52.500,407736.50801173504,-1274944.911901019,86.2389,0.04576393880640714,0.03682720683231572,0.024321256864569023,86400
550,0.013610744716811512,,-0.0006166547310604082,2019-05-18 11:59:52.500,407736.4983715569,-1274944.9206213246,86.23842630555556,2019-05-18 11:59:52.500,407736.49821634864,-1274944.9204311941,86.2385,0.045668756910420376,0.03685152016682408,0.024326619429728788,86400
551,0.013601605208580721,,-0.0007650380815496828,2019-05-19 11:59:52.500,407736.4879146885,-1274944.9290113228,86.23750499537037,2019-05-19 11:59:52.500,407736.4881834955,-1274944.928748611,86.2377,0.045406541012920146,0.037103472001841394,0.024383612363596305,86400
552,0.013566968721609993,,-0.0007798967531266046,2019-05-20 11:59:52.500,407736.47753182915,-1274944.9373057617,86.23665633101852,2019-05-20 11:59:52.500,407736.4783712725,-1274944.937183599,86.2369,0.045218699400573915,0.037098103944331,0.024413109552452676,86400
553,0.013529666774487786,,-0.0007139284714498134,2019-05-21 11:59:52.500,407736.4671080499,-1274944.9455580239,86.23580350925926,2019-05-21 11:59:52.500,407736.46816481417,-1274944.9460117007,86.236,0.04514512235959298,0.03694228246695718,0.024351504686757525,86400
554,0.01347975793811191,,-0.0006153854295288203,2019-05-22 11:59:52.500,407736.45673201897,-1274944.9538508386,86.23493647106481,2019-05-22 11:59:52.500,407736.45589150116,-1274944.954477375,86.2351,0.04497529933006792,0.03681434351301079,0.024294903788032677,86400
555,0.013483323744006575,,-0.0005417282593854243,2019-05-23 11:59:52.500,407736.4463646552,-1274944.9623016464,86.23467913425927,2019-05-23 11:59:52.500,407736.4455450609,-1274944.9626685395,86.2349,0.045156388802193734,0.03661652803199373,0.024325746292280917,86400
556,0.01352981469036351,,-0.0004685829479526603,2019-05-24 11:59:52.500,407736.4359832691,-1274944.9706157267,86.23477808449074,2019-05-24 11:59:52.500,407736.4362819836,-1274944.9711532916,86.2349,0.04540968127678499,0.03660969622471261,0.02437218487850691,86400
557,0.013532260552654737,,-0.00037072582283773856,2019-05-25 11:59:52.500,407736.42567880487,-1274944.9790523848,86.2345323587963,2019-05-25 11:59:52.500,407736.4256809065,-1274944.9793934608,86.2347,0.04542357274622606,0.0366066307529512,0.024349782152439593,86400
558,0.013554195743319553,,2.3866608494063135e-05,2019-05-26 11:59:52.500,407736.41531532886,-1274944.9874830334,86.23467758680556,2019-05-26 11:59:52.500,407736.41590030293,-1274944.9880155183,86.2349,0.045441928778852336,0.03672203785360275,0.02435045013626093,86400
559,0.013584231479321973,,0.00030527655441225286,2019-05-27 11:59:52.500,407736.4049909287,-1274944.9959470478,86.23475240393518,2019-05-27 11:59:52.500,407736.405586511,-1274944.995516263,86.2351,0.0454806594446574,0.036873058185920723,0.02442970267304369,86400
560,0.01359226064366532,,0.0005050188325275751,2019-05-28 11:59:52.500,407736.39451315807,-1274945.0044926172,86.23545556365741,2019-05-28 11:59:52.500,407736.39470847626,-1274945.0031630942,86.2358,0.04534486160341631,0.03708776972480198,0.024573970124974184,86400
561,0.013589649098348321,,0.0006518534253220268,2019-05-29 11:59:52.500,407736.3840057387,-1274945.0129604999,86.23631527662037,2019-05-29 11:59:52.500,407736.3844123275,-1274945.0115661924,86.2366,0.045209499548727716,0.03722931900284349,0.02468488632821523,86400
562,0.013642446295156324,,0.0009566038422813642,2019-05-30 11:59:52.500,407736.37375432067,-1274945.0214194218,86.23705576388889,2019-05-30 11:59:52.500,407736.3732137931,-1274945.02041258,86.2373,0.04532189037406165,0.037445872551347466,0.025005019984324625,86400
563,0.013671672385855836,,0.0013045364710734784,2019-05-31 11:59:52.500,407736.3634890125,-1274945.0298346942,86.23786152430556,2019-05-31 11:59:52.500,407736.3625079299,-1274945.0292004226,86.2381,0.04539360444992219,0.03754842888108101,0.025275213540249194,86400
564,0.013708307774940223,,0.0015282526010117208,2019-06-01 11:59:52.500,407736.35305498564,-1274945.0383305415,86.23880618402778,2019-06-01 11:59:52.500,407736.35267925245,-1274945.0381493676,86.2391,0.04549612059786602,0.03765777360029226,0.02523415617371556,86400
565,0.013716611745900876,,0.0016307860516909696,2019-06-02 11:59:52.500,407736.3425875045,-1274945.0467170794,86.23968359259258,2019-06-02 11:59:52.500,407736.3430355318,-1274945.0469511244,86.24,0.04562380827770382,0.037558737821826185,0.02541140537094735,86400
566,0.013781385017590322,,0.0016178698992329646,2019-06-03 11:59:52.500,407736.3320334975,-1274945.0551468,86.2412527962963,2019-06-03 11:59:52.500,407736.3323962459,-1274945.0558030219,86.2415,0.045768670545988044,0.037805095910975944,0.025456145906302262,86400
567,0.013793368320287862,,0.0015009456846146795,2019-06-04 11:59:52.500,407736.32149521,-1274945.0637168172,86.2424829837963,2019-06-04 11:59:52.500,407736.32175687276,-1274945.0648914445,86.2426,0.045804115142220235,0.03787046657217378,0.025778240465819748,86400
568,0.01380254396345015,,0.0015713914023131603,2019-06-05 11:59:52.500,407736.3110252467,-1274945.0724352933,86.24430616435185,2019-06-05 11:59:52.500,407736.3115031471,-1274945.073075651,86.2445,0.04587568747634079,0.03784807462118973,0.025894510298925068,86400
569,0.013733660165947058,,0.0016582981315021903,2019-06-06 11:59:52.500,407736.3005894655,-1274945.0810183948,86.24645450462963,2019-06-06 11:59:52.500,407736.3013706595,-1274945.0813425784,86.2465,0.0457022238679992,0.0376146714375376,0.02623893430933874,86400
570,0.013731893768975996,,0.0013968550850797725,2019-06-07 11:59:52.500,407736.2902661917,-1274945.0896858238,86.24750778587963,2019-06-07 11:59:52.500,407736.2910173028,-1274945.0895487221,86.2476,0.04565319410834555,0.03766417480373294,0.026234862141416952,86400
571,0.013723147557185698,,0.0013156808116903354,2019-06-08 11:59:52.500,407736.2799347007,-1274945.098282225,86.2488174537037,2019-06-08 11:59:52.500,407736.2796780688,-1274945.0976091924,86.249,0.04574491184403645,0.0375164998744967,0.026493658889259697,86400
572,0.013674959947192094,,0.0010085862762196625,2019-06-09 11:59:52.500,407736.2696564671,-1274945.106966298,86.25000258333334,2019-06-09 11:59:52.500,407736.2689581369,-1274945.1057289646,86.2501,0.04538261136587697,0.03767279435088406,0.02663366148095197,86400
573,0.013707051148165903,,0.0009870513846915703,2019-06-10 11:59:52.500,407736.2592600448,-1274945.1157122497,86.25089883333332,2019-06-10 11:59:52.500,407736.25762319285,-1274945.1147042194,86.2509,0.045341268725792104,0.037994998771857184,0.0271079225475246,86400
574,0.01366527534679167,,0.0007747686484019859,2019-06-11 11:59:52.500,407736.2487782097,-1274945.1240869977,86.25176514120369,2019-06-11 11:59:52.500,407736.2477674236,-1274945.1242568,86.2517,0.0453540168691313,0.037731709539854774,0.027171546726879343,86400
575,0.013680104676844185,,0.0005651726999857026,2019-06-12 11:59:52.500,407736.2383603559,-1274945.1325534275,86.25230955092592,2019-06-12 11:59:52.500,407736.23766488745,-1274945.1329275195,86.2522,0.04535272369818046,0.03783312401653017,0.027106484749830184,86400
576,0.013662477859502389,,0.0004049682927872391,2019-06-13 11:59:52.500,407736.2279956819,-1274945.1410346543,86.25288087384259,2019-06-13 11:59:52.500,407736.227741109,-1274945.1408265405,86.2528,0.045315043265415085,0.03776576038390383,0.027091315401535462,86400
577,0.013615918561037835,,0.00043608386684940853,2019-06-14 11:59:52.500,407736.21759296797,-1274945.149457699,86.25365138194444,2019-06-14 11:59:52.500,407736.2180676741,-1274945.1497479663,86.2535,0.04514778972835687,0.037659952751802096,0.027025800133552887,86400
578,0.013531951587586879,,0.0002566088611347745,2019-06-15 11:59:52.500,407736.20723727153,-1274945.1579364885,86.2536855625,2019-06-15 11:59:52.500,407736.2080395827,-1274945.158499959,86.2536,0.044855846379034836,0.03746531542470856,0.027342506847013198,86400
579,0.013493800418914938,,6.992900297254368e-05,2019-06-16 11:59:52.500,407736.1969404168,-1274945.1663434184,86.2537607673611,2019-06-16 11:59:52.500,407736.19883902685,-1274945.1676147257,86.2536,0.04479363323660341,0.03729578929075667,0.027519376415116995,86400
580,0.0134213687845644,,-0.00013855699647668287,2019-06-17 11:59:52.500,407736.18666948786,-1274945.174801369,86.25404357291667,2019-06-17 11:59:52.500,407736.18641857407,-1274945.1764197876,86.2539,0.044809086737255324,0.03680060176076197,0.027533917402636197,86400
581,0.013420854002684524,,-0.00022866911880957283,2019-06-18 11:59:52.500,407736.17615360295,-1274945.1828171622,86.25410446180557,2019-06-18 11:59:52.500,407736.1753156182,-1274945.1837539854,86.254,0.045452973867380515,0.03607795335565753,0.027607698572786,86400
582,0.013453221966113517,,-0.00044755345465315367,2019-06-19 11:59:52.500,407736.1657036536,-1274945.1910573468,86.25424978472222,2019-06-19 11:59:52.500,407736.1653652242,-1274945.1919622957,86.2541,0.04583379017250198,0.03578138446195621,0.027299162841592853,86400
583,0.01347937033551197,,-0.00039882099975872457,2019-06-20 11:59:52.500,407736.1553509601,-1274945.1992730587,86.25377881828705,2019-06-20 11:59:52.500,407736.1555125533,-1274945.1999861554,86.2536,0.04599579773002248,0.03574652238964639,0.027427806873257354,86400
584,0.013487499786094405,,-0.00012148470318414583,2019-06-21 11:59:52.500,407736.1448347,-1274945.2076348232,86.25319992592593,2019-06-21 11:59:52.500,407736.14568625926,-1274945.2083577754,86.2531,0.04614619694940783,0.035588328387577015,0.027240473037207155,86400
585,0.013530805493842927,,-0.0002345238149212541,2019-06-22 11:59:52.500,407736.13431163126,-1274945.2159153083,86.25333940046296,2019-06-22 11:59:52.500,407736.1356843036,-1274945.2162557319,86.2532,0.046219428838382356,0.03581608165621933,0.027436576828505442,86400
586,0.013543326007549978,,-0.00019804282647972165,2019-06-23 11:59:52.500,407736.1238953313,-1274945.224287411,86.2529795787037,2019-06-23 11:59:52.500,407736.1254243775,-1274945.223707054,86.2528,0.04621306675948024,0.035898936326482826,0.027160754372983584,86400
